"Time","Force 1 Monitor: Force 1 Monitor (N)"
0.35000000000000026,3.5369862649638705E-4
0.35250000000000026,3.533537416255892E-4
0.35500000000000026,3.530125770101127E-4
0.35750000000000026,3.526751779980438E-4
0.36000000000000026,3.523424157019973E-4
0.36250000000000027,3.52011263629948E-4
0.36500000000000027,3.516857091276748E-4
0.36750000000000027,3.5136319741907213E-4
0.3700000000000003,3.5104488855609915E-4
0.3725000000000003,3.507298172919843E-4
0.3750000000000003,3.504178311123598E-4
0.3775000000000003,3.501088743128871E-4
0.3800000000000003,3.498037647507952E-4
0.3825000000000003,3.495015721349246E-4
0.3850000000000003,3.492028143875412E-4
0.3875000000000003,3.489077770806254E-4
0.3900000000000003,3.4861490951023044E-4
0.3925000000000003,3.483256878542937E-4
0.3950000000000003,3.4803975429885647E-4
0.3975000000000003,3.477572492542206E-4
0.4000000000000003,3.474771987215311E-4
0.4025000000000003,3.472003180316823E-4
0.4050000000000003,3.4692583047329993E-4
0.4075000000000003,3.466551979174799E-4
0.4100000000000003,3.4638684080755375E-4
0.4125000000000003,3.461214890025093E-4
0.4150000000000003,3.458585461733704E-4
0.4175000000000003,3.4559859712716826E-4
0.4200000000000003,3.4534170469439153E-4
0.4225000000000003,3.450869902353572E-4
0.4250000000000003,3.448343124234545E-4
0.4275000000000003,3.44585149723492E-4
0.4300000000000003,3.443385546689368E-4
0.43250000000000033,3.4409426701026354E-4
0.43500000000000033,3.4385264015806204E-4
0.43750000000000033,3.4361392247679655E-4
0.44000000000000034,3.433772823503549E-4
0.44250000000000034,3.4314291924210177E-4
0.44500000000000034,3.4291124691432405E-4
0.44750000000000034,3.426814758102338E-4
0.45000000000000034,3.424545856914766E-4
0.45250000000000035,3.42229598744314E-4
0.45500000000000035,3.420067406253444E-4
0.45750000000000035,3.417862298567392E-4
0.46000000000000035,3.4156830902877793E-4
0.46250000000000036,3.4135204235319523E-4
0.46500000000000036,3.411381550738068E-4
0.46750000000000036,3.4092665416567445E-4
0.47000000000000036,3.407169730291781E-4
0.47250000000000036,3.405096483171079E-4
0.47500000000000037,3.4030466288854276E-4
0.47750000000000037,3.401011229270799E-4
0.48000000000000037,3.39899803411364E-4
0.4825000000000004,3.3970045183754716E-4
0.4850000000000004,3.3950335908339714E-4
0.4875000000000004,3.3930797580368434E-4
0.4900000000000004,3.391138552614252E-4
0.4925000000000004,3.3892175628517105E-4
0.4950000000000004,3.387324882743237E-4
0.4975000000000004,3.385436775862543E-4
0.5000000000000003,3.383587813309631E-4
0.5025000000000003,3.381727435230893E-4
0.5050000000000002,3.37991233046196E-4
0.5075000000000002,3.378097596847178E-4
0.5100000000000001,3.3763039543510415E-4
0.5125000000000001,3.374532681598427E-4
0.515,3.372772649032745E-4
0.5175,3.371032928799993E-4
0.5199999999999999,3.369305955854152E-4
0.5224999999999999,3.367595598839354E-4
0.5249999999999998,3.365903002218801E-4
0.5274999999999997,3.3642258458741045E-4
0.5299999999999997,3.362561765428402E-4
0.5324999999999996,3.360913498639756E-4
0.5349999999999996,3.359281426392754E-4
0.5374999999999995,3.3576655456715363E-4
0.5399999999999995,3.356063041499299E-4
0.5424999999999994,3.354479541388022E-4
0.5449999999999994,3.3528990651737956E-4
0.5474999999999993,3.351339793229401E-4
0.5499999999999993,3.349795080390719E-4
0.5524999999999992,3.348256749397923E-4
0.5549999999999992,3.346748822465856E-4
0.5574999999999991,3.345242288689507E-4
0.559999999999999,3.3437490444629354E-4
0.562499999999999,3.3422741952921897E-4
0.564999999999999,3.3407967698732155E-4
0.5674999999999989,3.339354564519222E-4
0.5699999999999988,3.3379093591777854E-4
0.5724999999999988,3.3364802487749804E-4
0.5749999999999987,3.3350662830134884E-4
0.5774999999999987,3.333660271587455E-4
0.5799999999999986,3.3322691979961603E-4
0.5824999999999986,3.33088881201279E-4
0.5849999999999985,3.3295212503072977E-4
0.5874999999999985,3.328165220880162E-4
0.5899999999999984,3.326818585468467E-4
0.5924999999999984,3.325485326188651E-4
0.5949999999999983,3.3241638499826144E-4
0.5974999999999983,3.3228506858544254E-4
0.5999999999999982,3.3215530468905696E-4
0.6024999999999981,3.320263944271224E-4
0.6049999999999981,3.318981436214317E-4
0.607499999999998,3.3177130036516115E-4
0.609999999999998,3.3164537110632854E-4
0.6124999999999979,3.315211001989437E-4
0.6149999999999979,3.31397169212152E-4
0.6174999999999978,3.3127460494970784E-4
0.6199999999999978,3.311521405294949E-4
0.6224999999999977,3.3103197438828037E-4
0.6249999999999977,3.3091174780544775E-4
0.6274999999999976,3.307927483310231E-4
0.6299999999999976,3.3067473847439165E-4
0.6324999999999975,3.3055766697370965E-4
0.6349999999999975,3.304415496008064E-4
0.6374999999999974,3.3032611909319893E-4
0.6399999999999973,3.30211983682921E-4
0.6424999999999973,3.3009860213290725E-4
0.6449999999999972,3.299859437904993E-4
0.6474999999999972,3.2987430806450323E-4
0.6499999999999971,3.297634690033627E-4
0.6524999999999971,3.2965354683174987E-4
0.654999999999997,3.2954429987481105E-4
0.657499999999997,3.294360203482058E-4
0.6599999999999969,3.2932834500634873E-4
0.6624999999999969,3.292214589474303E-4
0.6649999999999968,3.2911556974555547E-4
0.6674999999999968,3.2900989661331875E-4
0.6699999999999967,3.289059963029E-4
0.6724999999999967,3.2880233728598137E-4
0.6749999999999966,3.286994311926534E-4
0.6774999999999965,3.285970427085314E-4
0.6799999999999965,3.284955454439828E-4
0.6824999999999964,3.2839487616881954E-4
0.6849999999999964,3.282948878467395E-4
0.6874999999999963,3.2819570128332556E-4
0.6899999999999963,3.280969661971526E-4
0.6924999999999962,3.2799921721081405E-4
0.6949999999999962,3.279020785391864E-4
0.6974999999999961,3.2780576168891075E-4
0.6999999999999961,3.277097126666829E-4
0.702499999999996,3.2761466336780475E-4
0.704999999999996,3.275201653108726E-4
0.7074999999999959,3.2742643190997276E-4
0.7099999999999959,3.2733324426937574E-4
0.7124999999999958,3.2724084457123523E-4
0.7149999999999958,3.271489760197869E-4
0.7174999999999957,3.270577552211963E-4
0.7199999999999956,3.269671000914949E-4
0.7224999999999956,3.2687722896520535E-4
0.7249999999999955,3.267878394618859E-4
0.7274999999999955,3.2669911998633127E-4
0.7299999999999954,3.2661099549842097E-4
0.7324999999999954,3.26523563086894E-4
0.7349999999999953,3.2643650945153395E-4
0.7374999999999953,3.2635027935734226E-4
0.7399999999999952,3.262646111812542E-4
0.7424999999999952,3.261794465136968E-4
0.7449999999999951,3.26095134357246E-4
0.7474999999999951,3.260111152818395E-4
0.749999999999995,3.2592780963168824E-4
0.752499999999995,3.2584522210867494E-4
0.7549999999999949,3.257629415088094E-4
0.7574999999999948,3.2568126210136814E-4
0.7599999999999948,3.2560052597225533E-4
0.7624999999999947,3.2552023221539805E-4
0.7649999999999947,3.2544036341425147E-4
0.7674999999999946,3.2536088463410036E-4
0.7699999999999946,3.2528218022102916E-4
0.7724999999999945,3.2520399097843574E-4
0.7749999999999945,3.251262963375008E-4
0.7774999999999944,3.250493640156776E-4
0.7799999999999944,3.2497285573546337E-4
0.7824999999999943,3.248968785213185E-4
0.7849999999999943,3.248216000369869E-4
0.7874999999999942,3.2474673526998254E-4
0.7899999999999942,3.246727065480194E-4
0.7924999999999941,3.2459849264916837E-4
0.794999999999994,3.245250388537044E-4
0.797499999999994,3.244526022820964E-4
0.7999999999999939,3.2437990021511634E-4
0.8024999999999939,3.2430857215700405E-4
0.8049999999999938,3.2423738970127386E-4
0.8074999999999938,3.2416676348770993E-4
0.8099999999999937,3.24096628239136E-4
0.8124999999999937,3.2402703196134823E-4
0.8149999999999936,3.239578465745654E-4
0.8174999999999936,3.238891489997595E-4
0.8199999999999935,3.2382098276408935E-4
0.8224999999999935,3.237533440231951E-4
0.8249999999999934,3.236863193328812E-4
0.8274999999999934,3.236194075988305E-4
0.8299999999999933,3.2355318887096105E-4
0.8324999999999932,3.2348723013029147E-4
0.8349999999999932,3.2342215468327223E-4
0.8374999999999931,3.2335723648265597E-4
0.8399999999999931,3.232926737205099E-4
0.842499999999993,3.2322879740478397E-4
0.844999999999993,3.2316527924181683E-4
0.8474999999999929,3.231021574682749E-4
0.8499999999999929,3.2303942673318276E-4
0.8524999999999928,3.2297732118387345E-4
0.8549999999999928,3.229154232634679E-4
0.8574999999999927,3.228539121043297E-4
0.8599999999999927,3.227929449310615E-4
0.8624999999999926,3.227322889340611E-4
0.8649999999999926,3.226721469575242E-4
0.8674999999999925,3.2261242937676305E-4
0.8699999999999924,3.2255308215044264E-4
0.8724999999999924,3.2249424425994657E-4
0.8749999999999923,3.224356384066681E-4
0.8774999999999923,3.223775026834126E-4
0.8799999999999922,3.223198915088255E-4
0.8824999999999922,3.2226257012827984E-4
0.8849999999999921,3.222052334424005E-4
0.8874999999999921,3.221494484873941E-4
0.889999999999992,3.22093336485666E-4
0.892499999999992,3.22037476558684E-4
0.8949999999999919,3.2198228954033947E-4
